ID,label
1,0
2,1
3,0
4,0
5,3
6,0
7,3
8,3
9,1
10,3
11,3
12,0
13,0
14,0
15,3
16,3
17,3
18,3
19,0
20,0
21,1
22,3
23,3
24,3
25,3
26,3
27,0
28,3
29,3
30,2
31,3
32,3
33,3
34,1
35,3
36,0
37,3
38,3
39,3
40,0
41,3
42,3
43,3
44,3
45,0
46,3
47,0
48,0
49,3
50,3
51,3
52,0
53,3
54,3
55,3
56,3
57,3
58,3
59,1
60,0
61,3
62,0
63,0
64,0
65,0
66,1
67,3
68,3
69,0
70,1
71,3
72,3
73,3
74,0
75,0
76,0
77,3
78,0
79,1
80,3
81,0
82,0
83,3
84,3
85,0
86,3
87,3
88,1
89,0
90,0
91,1
92,3
93,2
94,3
95,1
96,0
97,3
98,0
99,3
100,3
101,3
102,0
103,3
104,3
105,3
106,3
107,1
108,3
109,0
110,3
111,3
112,0
113,3
114,0
115,3
116,0
117,3
118,0
119,3
120,0
121,0
122,3
123,1
124,3
125,3
126,0
127,3
128,0
129,3
130,3
131,3
132,0
133,3
134,0
135,1
136,3
137,0
138,3
139,3
140,0
141,1
142,0
143,1
144,0
145,3
146,3
147,3
148,3
149,3
150,3
151,3
152,0
153,3
154,0
155,3
156,3
157,3
158,3
159,3
160,3
161,1
162,3
163,3
164,3
165,3
166,1
167,0
168,3
169,3
170,0
171,1
172,0
173,0
174,3
175,1
176,3
177,0
178,1
179,2
180,3
181,1
182,3
183,3
184,0
185,3
186,3
187,3
188,0
189,3
190,3
191,3
192,0
193,3
194,1
195,3
196,3
197,1
198,3
199,3
200,3
201,3
202,0
203,3
204,3
205,0
206,0
207,0
208,3
209,3
210,0
211,3
212,3
213,0
214,0
215,3
216,1
217,3
218,2
219,1
220,3
221,3
222,1
223,1
224,3
225,0
226,0
227,3
228,1
229,3
230,3
231,3
232,3
233,3
234,0
235,3
236,0
237,3
238,3
239,3
240,1
241,0
242,3
243,3
244,3
245,3
246,3
247,3
248,0
249,1
250,1
251,3
252,3
253,3
254,3
255,3
256,0
257,3
258,3
259,3
260,0
261,0
262,0
263,1
264,1
265,0
266,3
267,3
268,3
269,3
270,0
271,1
272,1
273,2
274,1
275,0
276,3
277,0
278,3
279,1
280,3
281,3
282,3
283,2
284,3
285,2
286,0
287,2
288,3
289,3
290,3
291,0
292,2
293,0
294,3
295,3
296,0
297,1
298,3
299,0
300,3
301,3
302,0
303,0
304,1
305,3
306,1
307,0
308,3
309,0
310,3
311,1
312,0
313,0
314,3
315,3
316,3
317,0
318,0
319,3
320,0
321,0
322,1
323,1
324,1
325,3
326,3
327,3
328,0
329,0
330,0
331,0
332,3
333,0
334,0
335,1
336,3
337,1
338,1
339,3
340,0
341,0
342,3
343,3
344,0
345,0
346,3
347,3
348,3
349,3
350,3
351,3
352,3
353,0
354,3
355,0
356,3
357,3
358,3
359,3
360,3
361,3
362,3
363,3
364,3
365,0
366,3
367,3
368,3
369,3
370,3
371,0
372,3
373,0
374,0
375,0
376,0
377,0
378,3
379,3
380,2
381,0
382,1
383,0
384,1
385,3
386,3
387,0
388,3
389,3
390,0
391,0
392,3
393,3
394,3
395,3
396,3
397,3
398,0
399,3
400,3
401,1
402,1
403,3
404,1
405,3
406,3
407,3
408,3
409,3
410,3
411,1
412,0
413,3
414,3
415,3
416,0
417,3
418,3
419,3
